id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
bioportal-nmr,https://lod-cloud.net/dataset/bioportal-nmr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-acgt,https://lod-cloud.net/dataset/bioportal-acgt,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-aero,https://lod-cloud.net/dataset/bioportal-aero,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bao,https://lod-cloud.net/dataset/bioportal-bao,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bdo,https://lod-cloud.net/dataset/bioportal-bdo,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bfo,https://lod-cloud.net/dataset/bioportal-bfo,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-birnlex,https://lod-cloud.net/dataset/bioportal-birnlex,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-canco,https://lod-cloud.net/dataset/bioportal-canco,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cao,https://lod-cloud.net/dataset/bioportal-cao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cheminf,https://lod-cloud.net/dataset/bioportal-cheminf,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-clo,https://lod-cloud.net/dataset/bioportal-clo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cogpo,https://lod-cloud.net/dataset/bioportal-cogpo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ddi,https://lod-cloud.net/dataset/bioportal-ddi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ecg,https://lod-cloud.net/dataset/bioportal-ecg,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ero,https://lod-cloud.net/dataset/bioportal-ero,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-flu,https://lod-cloud.net/dataset/bioportal-flu,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-hpio,https://lod-cloud.net/dataset/bioportal-hpio,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-iao,https://lod-cloud.net/dataset/bioportal-iao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
