id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
news-100-nif-ner-corpus,https://lod-cloud.net/dataset/news-100-nif-ner-corpus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-es,https://lod-cloud.net/dataset/dbpedia-es,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-nl,https://lod-cloud.net/dataset/dbpedia-nl,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia-abstract-corpus,https://lod-cloud.net/dataset/dbpedia-abstract-corpus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-croatian,https://lod-cloud.net/dataset/universal-dependencies-treebank-croatian,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
olia,https://lod-cloud.net/dataset/olia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
w3c-wordnet,https://lod-cloud.net/dataset/w3c-wordnet,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
sli_galnet_rdf,https://lod-cloud.net/dataset/sli_galnet_rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
lemonuby,https://lod-cloud.net/dataset/lemonuby,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
wordnet-rdf,https://lod-cloud.net/dataset/wordnet-rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
omwn-iwn,https://lod-cloud.net/dataset/omwn-iwn,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
gemeenschappelijke-thesaurus-audiovisuele-archieven,https://lod-cloud.net/dataset/gemeenschappelijke-thesaurus-audiovisuele-archieven,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-japanese,https://lod-cloud.net/dataset/universal-dependencies-treebank-japanese,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clld-wals,https://lod-cloud.net/dataset/clld-wals,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
lexvo,https://lod-cloud.net/dataset/lexvo,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-jpn,https://lod-cloud.net/dataset/omwn-jpn,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-czech,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-bulgarian,https://lod-cloud.net/dataset/universal-dependencies-treebank-bulgarian,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clld-afbo,https://lod-cloud.net/dataset/clld-afbo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
clld-glottolog,https://lod-cloud.net/dataset/clld-glottolog,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
gold,https://lod-cloud.net/dataset/gold,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
xwn,https://lod-cloud.net/dataset/xwn,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-spanish-ancora,https://lod-cloud.net/dataset/universal-dependencies-treebank-spanish-ancora,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
