id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
ASCDC-Tibetan-Audio-Archive,https://lod-cloud.net/dataset/ASCDC-Tibetan-Audio-Archive,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linkedmdb,https://lod-cloud.net/dataset/linkedmdb,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-musicbrainz,https://lod-cloud.net/dataset/dbtune-musicbrainz,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bbc-wildlife-finder,https://lod-cloud.net/dataset/bbc-wildlife-finder,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bbc-programmes,https://lod-cloud.net/dataset/bbc-programmes,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
event-media,https://lod-cloud.net/dataset/event-media,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
nytimes-linked-open-data,https://lod-cloud.net/dataset/nytimes-linked-open-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ontos-news-portal,https://lod-cloud.net/dataset/ontos-news-portal,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bricklink,https://lod-cloud.net/dataset/bricklink,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
zitgist-musicbrainz,https://lod-cloud.net/dataset/zitgist-musicbrainz,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-classical,https://lod-cloud.net/dataset/dbtune-classical,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bbc-music,https://lod-cloud.net/dataset/bbc-music,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
gemeenschappelijke-thesaurus-audiovisuele-archieven,https://lod-cloud.net/dataset/gemeenschappelijke-thesaurus-audiovisuele-archieven,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
betweenourworlds,https://lod-cloud.net/dataset/betweenourworlds,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
chronicling-america,https://lod-cloud.net/dataset/chronicling-america,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
data-incubator-discogs,https://lod-cloud.net/dataset/data-incubator-discogs,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-john-peel-sessions,https://lod-cloud.net/dataset/dbtune-john-peel-sessions,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
muziekweb,https://lod-cloud.net/dataset/muziekweb,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-artists-last-fm,https://lod-cloud.net/dataset/dbtune-artists-last-fm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
salzburgerland-com-it,https://lod-cloud.net/dataset/salzburgerland-com-it,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
edublogs,https://lod-cloud.net/dataset/edublogs,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
pokepedia-fr,https://lod-cloud.net/dataset/pokepedia-fr,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
data-incubator-pokedex,https://lod-cloud.net/dataset/data-incubator-pokedex,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
wasabi,https://lod-cloud.net/dataset/wasabi,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
surge-radio,https://lod-cloud.net/dataset/surge-radio,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
salzburgerland-com-de,https://lod-cloud.net/dataset/salzburgerland-com-de,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-audioscrobbler,https://lod-cloud.net/dataset/dbtune-audioscrobbler,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
salzburgerland-com-en,https://lod-cloud.net/dataset/salzburgerland-com-en,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linked-user-feedback,https://lod-cloud.net/dataset/linked-user-feedback,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rdfize-lastfm,https://lod-cloud.net/dataset/rdfize-lastfm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eutc-productions,https://lod-cloud.net/dataset/eutc-productions,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtune-magnatune,https://lod-cloud.net/dataset/dbtune-magnatune,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
data-incubator-moseley,https://lod-cloud.net/dataset/data-incubator-moseley,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
jamendo-dbtune,https://lod-cloud.net/dataset/jamendo-dbtune,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbtropes,https://lod-cloud.net/dataset/dbtropes,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ASCDC-CTS-TV-Programs,https://lod-cloud.net/dataset/ASCDC-CTS-TV-Programs,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
