id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
b3kat,https://lod-cloud.net/dataset/b3kat,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dewey_decimal_classification,https://lod-cloud.net/dataset/dewey_decimal_classification,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
lobid-resources,https://lod-cloud.net/dataset/lobid-resources,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dm2e,https://lod-cloud.net/dataset/dm2e,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lcsh,https://lod-cloud.net/dataset/lcsh,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dcs-sheffield,https://lod-cloud.net/dataset/dcs-sheffield,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
fu-berlin-dblp,https://lod-cloud.net/dataset/fu-berlin-dblp,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-nsf,https://lod-cloud.net/dataset/rkb-explorer-nsf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-acm,https://lod-cloud.net/dataset/rkb-explorer-acm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-citeseer,https://lod-cloud.net/dataset/rkb-explorer-citeseer,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-curriculum,https://lod-cloud.net/dataset/rkb-explorer-curriculum,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-dblp,https://lod-cloud.net/dataset/rkb-explorer-dblp,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-eprints,https://lod-cloud.net/dataset/rkb-explorer-eprints,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-irit,https://lod-cloud.net/dataset/rkb-explorer-irit,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-newcastle,https://lod-cloud.net/dataset/rkb-explorer-newcastle,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-rae2001,https://lod-cloud.net/dataset/rkb-explorer-rae2001,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-southampton,https://lod-cloud.net/dataset/rkb-explorer-southampton,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-wiki,https://lod-cloud.net/dataset/rkb-explorer-wiki,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
sweto-dblp,https://lod-cloud.net/dataset/sweto-dblp,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dws-group,https://lod-cloud.net/dataset/dws-group,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
semantic-web-dog-food,https://lod-cloud.net/dataset/semantic-web-dog-food,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
medline,https://lod-cloud.net/dataset/medline,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
doi,https://lod-cloud.net/dataset/doi,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
mismuseos-gnoss,https://lod-cloud.net/dataset/mismuseos-gnoss,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
zbw-pressemappe20,https://lod-cloud.net/dataset/zbw-pressemappe20,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
freeyork-org,https://lod-cloud.net/dataset/freeyork-org,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
fu-berlin-project-gutenberg,https://lod-cloud.net/dataset/fu-berlin-project-gutenberg,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
zbw-labs,https://lod-cloud.net/dataset/zbw-labs,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
libris,https://lod-cloud.net/dataset/libris,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
viaf,https://lod-cloud.net/dataset/viaf,2,1,2,2,2,0,2,2,0,0,2,2,7,2,4,4,17
rkb-explorer-budapest,https://lod-cloud.net/dataset/rkb-explorer-budapest,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-courseware,https://lod-cloud.net/dataset/rkb-explorer-courseware,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-deepblue,https://lod-cloud.net/dataset/rkb-explorer-deepblue,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-dotac,https://lod-cloud.net/dataset/rkb-explorer-dotac,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-epsrc,https://lod-cloud.net/dataset/rkb-explorer-epsrc,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
