id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
personal-homepages,https://lod-cloud.net/dataset/personal-homepages,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
debian-package-tracking-system,https://lod-cloud.net/dataset/debian-package-tracking-system,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
lod2-project-wiki,https://lod-cloud.net/dataset/lod2-project-wiki,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
nhs-jargon,https://lod-cloud.net/dataset/nhs-jargon,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
statusnet-1w6-org,https://lod-cloud.net/dataset/statusnet-1w6-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-bka-li,https://lod-cloud.net/dataset/statusnet-bka-li,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-chickenkiller-com,https://lod-cloud.net/dataset/statusnet-chickenkiller-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-chromic-org,https://lod-cloud.net/dataset/statusnet-chromic-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-davidhaberthuer-ch,https://lod-cloud.net/dataset/statusnet-davidhaberthuer-ch,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-fcac-com,https://lod-cloud.net/dataset/statusnet-fcac-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-fragdev-com,https://lod-cloud.net/dataset/statusnet-fragdev-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-freelish-us,https://lod-cloud.net/dataset/statusnet-freelish-us,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-gegeweb-org,https://lod-cloud.net/dataset/statusnet-gegeweb-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-gomertronic-com,https://lod-cloud.net/dataset/statusnet-gomertronic-com,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
statusnet-jonkman-ca,https://lod-cloud.net/dataset/statusnet-jonkman-ca,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-linuxwrangling-com,https://lod-cloud.net/dataset/statusnet-linuxwrangling-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-lydiastench-com,https://lod-cloud.net/dataset/statusnet-lydiastench-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-macno-org,https://lod-cloud.net/dataset/statusnet-macno-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-morphtown-de,https://lod-cloud.net/dataset/statusnet-morphtown-de,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-mrblog-nl,https://lod-cloud.net/dataset/statusnet-mrblog-nl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-opensim-chat-eu,https://lod-cloud.net/dataset/statusnet-opensim-chat-eu,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-ourcoffs-org-au,https://lod-cloud.net/dataset/statusnet-ourcoffs-org-au,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-piana-eu,https://lod-cloud.net/dataset/statusnet-piana-eu,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-postblue-info,https://lod-cloud.net/dataset/statusnet-postblue-info,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-progval-net,https://lod-cloud.net/dataset/statusnet-progval-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-qdnx-org,https://lod-cloud.net/dataset/statusnet-qdnx-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-quitter-se,https://lod-cloud.net/dataset/statusnet-quitter-se,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-rainbowdash-net,https://lod-cloud.net/dataset/statusnet-rainbowdash-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-russwurm-org,https://lod-cloud.net/dataset/statusnet-russwurm-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-samnoble-org,https://lod-cloud.net/dataset/statusnet-samnoble-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-scoffoni-net,https://lod-cloud.net/dataset/statusnet-scoffoni-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-skilledtests-com,https://lod-cloud.net/dataset/statusnet-skilledtests-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-somsants-net,https://lod-cloud.net/dataset/statusnet-somsants-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-soucy-cc,https://lod-cloud.net/dataset/statusnet-soucy-cc,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-ssweeny-net,https://lod-cloud.net/dataset/statusnet-ssweeny-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-status-net,https://lod-cloud.net/dataset/statusnet-status-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-sweetiebelle-net,https://lod-cloud.net/dataset/statusnet-sweetiebelle-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-tekk-com-ar,https://lod-cloud.net/dataset/statusnet-tekk-com-ar,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-thelovebug-org,https://lod-cloud.net/dataset/statusnet-thelovebug-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-timttmy-co-uk,https://lod-cloud.net/dataset/statusnet-timttmy-co-uk,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-hackerposse-com,https://lod-cloud.net/dataset/statusnet-hackerposse-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-legadolibre-com-ar,https://lod-cloud.net/dataset/statusnet-legadolibre-com-ar,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-ilikefreedom-ro,https://lod-cloud.net/dataset/statusnet-ilikefreedom-ro,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
testee,https://lod-cloud.net/dataset/testee,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
freebase,https://lod-cloud.net/dataset/freebase,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bio2rdf-dataset,https://lod-cloud.net/dataset/bio2rdf-dataset,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-orangeseeds-org,https://lod-cloud.net/dataset/statusnet-orangeseeds-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-deuxpi-ca,https://lod-cloud.net/dataset/statusnet-deuxpi-ca,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-atari-frosch-de,https://lod-cloud.net/dataset/statusnet-atari-frosch-de,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-mamalibre-com-ar,https://lod-cloud.net/dataset/statusnet-mamalibre-com-ar,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-fcestrada-com,https://lod-cloud.net/dataset/statusnet-fcestrada-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-tschlotfeldt-de,https://lod-cloud.net/dataset/statusnet-tschlotfeldt-de,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-doomicile-de,https://lod-cloud.net/dataset/statusnet-doomicile-de,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
data-incubator-musicbrainz,https://lod-cloud.net/dataset/data-incubator-musicbrainz,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
statusnet-keuser-fr,https://lod-cloud.net/dataset/statusnet-keuser-fr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-belfalas-org,https://lod-cloud.net/dataset/statusnet-belfalas-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-shnoulle-net,https://lod-cloud.net/dataset/statusnet-shnoulle-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-bonifaz-ec,https://lod-cloud.net/dataset/statusnet-bonifaz-ec,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-imirhil-fr,https://lod-cloud.net/dataset/statusnet-imirhil-fr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-kathryl-fr,https://lod-cloud.net/dataset/statusnet-kathryl-fr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-planet-libre-org,https://lod-cloud.net/dataset/statusnet-planet-libre-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-recit-org,https://lod-cloud.net/dataset/statusnet-recit-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-sebseb01-net,https://lod-cloud.net/dataset/statusnet-sebseb01-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-spip-org,https://lod-cloud.net/dataset/statusnet-spip-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-20100-org,https://lod-cloud.net/dataset/statusnet-20100-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-ced117-net,https://lod-cloud.net/dataset/statusnet-ced117-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-kenzoid-com,https://lod-cloud.net/dataset/statusnet-kenzoid-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-panda-id-au,https://lod-cloud.net/dataset/statusnet-panda-id-au,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-qth-fr,https://lod-cloud.net/dataset/statusnet-qth-fr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-equestriarp-net,https://lod-cloud.net/dataset/statusnet-equestriarp-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-thornton2-com,https://lod-cloud.net/dataset/statusnet-thornton2-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
sears,https://lod-cloud.net/dataset/sears,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
statusnet-alexandrefranke-com,https://lod-cloud.net/dataset/statusnet-alexandrefranke-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-kaimi-cc,https://lod-cloud.net/dataset/statusnet-kaimi-cc,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-lebsanft-org,https://lod-cloud.net/dataset/statusnet-lebsanft-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-schiessle-org,https://lod-cloud.net/dataset/statusnet-schiessle-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-maymay-net,https://lod-cloud.net/dataset/statusnet-maymay-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-spraci-org,https://lod-cloud.net/dataset/statusnet-spraci-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-tl1n-com,https://lod-cloud.net/dataset/statusnet-tl1n-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-exdc-net,https://lod-cloud.net/dataset/statusnet-exdc-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-datenfahrt-org,https://lod-cloud.net/dataset/statusnet-datenfahrt-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-otbm-fr,https://lod-cloud.net/dataset/statusnet-otbm-fr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-cooleysekula-net,https://lod-cloud.net/dataset/statusnet-cooleysekula-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-dtdns-net,https://lod-cloud.net/dataset/statusnet-dtdns-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
statusnet-glou-org,https://lod-cloud.net/dataset/statusnet-glou-org,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
