KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
bio2rdf-chembl,Bio2RDF::Chembl,http://chembl.bio2rdf.org/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
fu-berlin-drugbank,DrugBank,http://www4.wiwiss.fu-berlin.de/drugbank/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bio2rdf-goa,Bio2RDF::Goa,http://goa.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-homologene,Bio2RDF::Homologene,http://homologene.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-irefindex,Bio2RDF::Irefindex,http://irefindex.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-mesh,Bio2RDF::Mesh,http://mesh.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-ndc,Bio2RDF::Ndc,http://ndc.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-pharmgkb,Bio2RDF::Pharmgkb,http://pharmgkb.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-orphanet,Bio2RDF::Orphanet,http://orphanet.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-sabiork,Bio2RDF::Sabiork,http://sabiork.bio2rdf.org/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
bio2rdf-sider,Bio2RDF::Sider,http://sider.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-taxon,bio2rdf-taxon,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
bio2rdf-wormbase,Bio2RDF::Wormbase,http://wormbase.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bioportal-mccl_x1,Cell line ontology,http://bioportal.bioontology.org/ontologies/1245,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
bioportal-apo,Ascomycete phenotype ontology,http://bioportal.bioontology.org/ontologies/1222,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-nmr,NMR-instrument specific component of metabolomics investigations,http://bioportal.bioontology.org/ontologies/1033,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-sio,SemanticScience Integrated Ontology,http://bioportal.bioontology.org/ontologies/1532,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
bioportal-fypo,Fission Yeast Phenotype Ontology,http://bioportal.bioontology.org/ontologies/1689,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-mod,Protein modification,http://bioportal.bioontology.org/ontologies/1041,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-imr,Molecule role (INOH Protein name/family name ontology),http://bioportal.bioontology.org/ontologies/1029,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-nif_cell,NIF Cell,http://bioportal.bioontology.org/ontologies/1402,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-dc_cl,Dendritic cell,http://bioportal.bioontology.org/ontologies/1144,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-wbphenotype,C. elegans phenotype,http://bioportal.bioontology.org/ontologies/1067,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
jita,JITA Classification System of Library and Information Science,http://www.destin-informatique.com/ASKOSI/Wiki.jsp?page=JITA%20Maintenance,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
bioportal-efo,Experimental Factor Ontology,http://bioportal.bioontology.org/ontologies/1136,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
bioportal-aeo,Anatomical Entity Ontology,http://bioportal.bioontology.org/ontologies/1568,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-rex,Physico-chemical process,http://bioportal.bioontology.org/ontologies/1043,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-geospecies,GeoSpecies Ontology,http://bioportal.bioontology.org/ontologies/1247,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-chebi,Chemical entities of biological interest,http://bioportal.bioontology.org/ontologies/1007,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-rnao,RNA ontology,http://bioportal.bioontology.org/ontologies/1500,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-lipro,Lipid Ontology,http://bioportal.bioontology.org/ontologies/1183,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-mao,Multiple alignment,http://bioportal.bioontology.org/ontologies/1026,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-hao,Hymenoptera Anatomy Ontology,http://bioportal.bioontology.org/ontologies/1362,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-fbdv,Drosophila development,http://bioportal.bioontology.org/ontologies/1016,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-fbbt,Drosophila gross anatomy,http://bioportal.bioontology.org/ontologies/1015,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-bto,BRENDA tissue / enzyme source,http://bioportal.bioontology.org/ontologies/1005,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ncbitaxon,NCBI organismal classification,http://bioportal.bioontology.org/ontologies/1132,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-pw,Pathway ontology,http://bioportal.bioontology.org/ontologies/1035,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ogi,Ontology for Genetic Interval,http://bioportal.bioontology.org/ontologies/1100,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),http://bioportal.bioontology.org/ontologies/1013,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ehdaa,"Human developmental anatomy, abstract version",http://bioportal.bioontology.org/ontologies/1021,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-mmo,Measurement Method Ontology,http://bioportal.bioontology.org/ontologies/1584,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ido,Infectious Disease Ontology,http://bioportal.bioontology.org/ontologies/1092,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-cheminf,Chemical Information Ontology,http://bioportal.bioontology.org/ontologies/1444,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-npo,NanoParticle Ontology,http://bioportal.bioontology.org/ontologies/1083,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
chempedia-rdf,ChemPedia RDF,http://figshare.com/articles/ChemPedia_as_RDF/681678,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,0,0.25,2.55
bioportal-mego,MeGO,http://bioportal.bioontology.org/ontologies/1257,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
addgene,Addgene,http://www.addgene.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-exo,ExO,http://bioportal.bioontology.org/ontologies/1575,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-uo,Units of measurement,http://bioportal.bioontology.org/ontologies/1112,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-pato,Phenotypic quality,http://bioportal.bioontology.org/ontologies/1107,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
kupkb,Kidney and Urinary Pathway Knowledge Base,absent,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,0,1,1,0.5,1,1,0,1,0.75,2.51
entrez_gene,Entrez Gene,http://www.ncbi.nlm.nih.gov/gene,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.76
bioportal-mcbcc,Breast tissue cell lines,http://bioportal.bioontology.org/ontologies/1438,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-oboe,OBOE,http://bioportal.bioontology.org/ontologies/1524,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-snpo,SNP-Ontology,http://bioportal.bioontology.org/ontologies/1058,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-sao,Subcellular Anatomy Ontology (SAO),http://bioportal.bioontology.org/ontologies/1068,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
fu-berlin-stitch,STITCH: Chemical-Protein Interactions,http://www4.wiwiss.fu-berlin.de/stitch/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
bioportal-cl,Cell type,http://bioportal.bioontology.org/ontologies/1006,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
