id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
icane,ICANE,-,http://www.icane.es/opendata/sparql,http://www.opendefinition.org/licenses/odc-by,"The Statistical Office of Cantabria (Instituto Cántabro de Estadística, ICANE) is the public agency in charge of production and diffusion of statistical data about all aspects of society and economy in Cantabria.

This publication contains all metadata (both structural and descriptive) and data that ICANE produces according to the Linked Open Data principles.

Time series are classified into sections (parent SKOS Concept Schemes), subsections (child SKOS Concept Schemes), categories (a special type defined by ICANE) and subjects (SKOS concepts, which appear as folders on the website, and are organized hierarchically). 

A [custom ICANE vocabulary](http://www.icane.es/opendata/vocab) was created to aid in the task of navigating the publication, and is used along other well-known and widely used vocabularies (RDFS, DCTerms, SKOS, FOAF and VOiD).

Metadata is presented, when possible, embedded into XHTML as RDFa, and links for live data dumps are provided for all series, which use the RDF Data Cube Vocabulary.

A [publicly accessible SPARQL endpoint](http://www.icane.es/opendata/sparql) is also provided, with [a form for easily submitting queries](http://www.icane.es/semantic-web) present on the intro page (in Spanish).",http://www.icane.es/semantic-web,FALSE,Web:http://www.icane.es/semantic-web Name:Instituto Cántabro de Estadística Email:buzon@icane.es,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-es,DBpedia in Spanish,Available,http://es.dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,These data correspond to the ontology DBpedia version 2014.,http://es.dbpedia.org,FALSE,Web:http://es.dbpedia.org Name:Mariano Rico Email:mariano.rico@fi.upm.es,,,,,,,,,,,,,,,,,,,,,,,
geographic-names-information-system-gnis,Geographic Names Information System (GNIS),-,https://gnis-ld.org/queries,FALSE,"The GNIS contains information about physical and cultural geographic features in the United States and associated areas, both current and historical (not including roads and highways). The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates.",absent,FALSE,Web:absent Name:Blake Regalia Email:blake.regalia@gmail.com,1,0,1,0.67,1,1,0.78,0.5,1,0,1,0.62,0,1,0,1,0.5,0,1,0,1,0.5,2.4
lod2-project-wiki,LOD2 Project Wiki,-,,FALSE,Projekt Wiki of the LOD2 EU Project,http://lod2.eu,FALSE,Web:http://lod2.eu Name: Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
open-data-thesaurus,Open Data Thesaurus,Available,http://vocabulary.semantic-web.at/PoolParty/sparql/OpenData,http://www.opendefinition.org/licenses/cc-by-sa,"The Open Data Thesaurus is a collection of key concepts and entities, their definitions and semantic links. Following the principle of ?eat your own dog food? this thesaurus is available in machine-readable form based on open W3C standards and under a Creative Commons license. The thesaurus can thus be integrated into other applications, such as for creating mashups, or for indexing of documents. The thesaurus is available in English and German.",http://vocabulary.semantic-web.at/PoolParty/wiki/OpenData,FALSE,Web:http://vocabulary.semantic-web.at/PoolParty/wiki/OpenData Name:OGD Austria Email:office@semantic-web.at,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.83
opencalais,OpenCalais,-,,FALSE,"OpenCalais is a web service that extracts semantic metadata from text content, such as web pages.",http://www.opencalais.com/,FALSE,Web:http://www.opencalais.com/ Name:Thomson Reuters Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
foodpedia,FOODpedia - Linked Data Dataset about Food Products and Ingredients,-,http://foodpedia.tk/sparql,http://www.opendefinition.org/licenses/cc-by,At this moment FOODpedia contains information about only Russian food products and ingredients that was crawled from [GoodsMatrix](http://goodsmatrix.ru/) web site. Also it has links to ingredients from [AGROVOC](http://datahub.io/dataset/agrovoc-skos).,http://foodpedia.tk,FALSE,Web:http://foodpedia.tk Name:Maxim Kolchin Email:kolchinmax@gmail.com,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
ispra-lod-place,ISPRA - The administrative divisions of Italy (regions/provinces/municipalities),Available,http://dati.isprambiente.it/sparql,http://www.opendefinition.org/licenses/cc-by,#### dati.isprambiente.it - ISPRA Linked Open Data - The administrative divisions of Italy (regions/provinces/municipalities) + shape of municipalities + link to istat + link to geoname/dbpedia,absent,FALSE,"Web:absent Name:Italian National Institute for Environmental Protection and Research, ISPRA Email:assistenza-lod@isprambiente.it",1,0.3,1,0.89,1,1,0.86,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.61
linked-crunchbase,Linked Crunchbase,-,,http://creativecommons.org/licenses/by-nc/2.0/,A CrunchBase wrapper to Linked Data,http://km.aifb.kit.edu/services/crunchbase/api/,FALSE,Web:http://km.aifb.kit.edu/services/crunchbase/api/ Name:Andreas Harth Email:andreas@harth.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
