id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
the-view-from,The View From,-,http://api.talis.com/stores/theviewfrom/services/sparql,FALSE,A set of data about photos of the view from various places,http://theviewfrom.org/,FALSE,Web:http://theviewfrom.org/ Name:Tom Heath Email:tom.heath@talis.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
geonames-semantic-web,GeoNames Semantic Web,-,,http://www.opendefinition.org/licenses/cc-by,"The GeoNames Ontology makes it possible to add geospatial semantic information to the Word Wide Web. All over 6.2 million geonames toponyms now have a unique URL with a corresponding RDF web service. Other services describe the relation between toponyms.

SPARQL endpoints for this data are made available by third parties. [Geonames at Kasabi](http://kasabi.com/dataset/geonames/), and [FactForge](http://factforge.net/sparql) has it loaded as well.",http://www.geonames.org/ontology/,"Name: absent, email: bankingservice2020@gmail.com",Web:http://www.geonames.org/ontology/ Name:Bernard Vatant Email:bernard.vatant@mondeca.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
linkedgeodata,LinkedGeoData,Available,http://linkedgeodata.org/sparql/,http://www.opendefinition.org/licenses/cc-by,LinkedGeoData is an effort to add a spatial dimension to the Web of Data / Semantic Web. LinkedGeoData uses the information collected by the OpenStreetMap project and makes it available as an RDF knowledge base according to the Linked Data principles. It interlinks this data with other knowledge bases in the Linking Open Data initiative.,http://linkedgeodata.org/,FALSE,Web:http://linkedgeodata.org/ Name:Universität Leipzig Email:,,,,,,,,,,,,,,,,,,,,,,,
fishes-of-texas,Fishes of Texas,-,,FALSE,"The [Fishes of Texas Project](http://www.fishesoftexas.org) is a multi-year research project that attempts to consolidate, standardize and fully georeference all of the known scientific information on the freshwater fishes of Texas. This package is the Linked Data version of the project's published data.

### Not yet fully available

This dataset is only available from temporary URIs as of September 2010, see example resource links.

A SPARQL endpoint is planned here: [http://data.fishesoftexas.org/sparql](http://data.fishesoftexas.org/sparql)",http://data.fishesoftexas.org,FALSE,Web:http://data.fishesoftexas.org Name:Juan F. Sequeda Email:jsequeda@cs.utexas.edu,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
thist,ThIST,-,http://linkeddata.ge.imati.cnr.it:8890/sparql,http://www.opendefinition.org/licenses/cc-by,"ThIST is the Italian Thesaurus of Sciences of the Earth, which has been exposed as Linked Data in the context of LusTRE, a framework currently under development within the EU project eENVplus (CIP-ICT-PSP grant No. 325232) that aims at combining existing thesauri to support the management of environmental resources. LusTRE considers the heterogeneity in scopes and levels of abstraction of environmental thesauri as an asset when managing environmental data, it exploits linked data best practices SKOS  (Simple Knowledge Organization System) and RDF  (Resource Description Framework) in order to provide a multi-thesauri solution for INSPIRE data themes related to the environment. 
The ThIST content is made available by Geological Survey of Italy in ISPRA  (Istituto Superiore per la
Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs, articles of periodicals, papers) possessed by the Library and the recovery of the related information.
The ThIST content is made available by ISPRA (Istituto Superiore per la
Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs, articles of periodicals, papers) possessed by the Library and the recovery of the related information.",http://purl.org/NET/ThISTWebPage,FALSE,"Web:http://purl.org/NET/ThISTWebPage Name: Servizio Geologico d'Italia in collaboration with ISPRA library (A. Carusone, L. Olivetta, C. Cipolloni, R. Ventura) Email:carlo.cipolloni@isprambiente.it",1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
environmental-applications-reference-thesaurus,EARTh,offline,http://linkeddata.ge.imati.cnr.it:8890/sparql,http://creativecommons.org/licenses/by-nc/2.0/,"The Environmental Applications Reference Thesaurus (EARTh) has been compiled and is maintained by the  CNR-IIA-EKOLab  to facilitate the indexing, retrieval, harmonizing and integration of human- and machine-readable environmental information from disparate sources, across the cultural and linguistic barriers. Ownership of such material always remains with the CNR-IIA-EKOLab.

EARTh has been firstly made available as linked data as an activity within the European Project NatureSDIPlus (ECP-2007-GEO-317007). It is currently maintained  in the context of LusTRE, a framework under development within the EU project eENVplus (CIP-ICT-PSP grant No. 325232) that aims at combining existing thesauri to support the management of environmental resources. LusTRE considers the heterogeneity in scopes and levels of abstraction of environmental thesauri as an asset when managing environmental data, it exploits linked data best practices SKOS (Simple Knowledge Organization System) and RDF (Resource Description Framework) in order to provide a multi-thesauri solution for INSPIRE data themes related to the environment.",http://thesaurus.iia.cnr.it/index.php/vocabularies/earth,FALSE,Web:http://thesaurus.iia.cnr.it/index.php/vocabularies/earth Name:Paolo Plini (CNR-IIA-EKOLab)  Email:plini@iia.cnr.it,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
oceandrilling-janusamp,Ocean Drilling - Janus Age Models,offline,http://data.oceandrilling.org/sparql,FALSE,"A collection of age models for the Deep Sea Drilling Program (DSDP), Ocean Drilling Program (ODP) and Integrated Ocean Drilling Program (IODP) drilling sites.

These can be used to convert depth measurement to geologic age. 

http://data.oceandrilling.org/linkeddata.html",http://chronos.org/janusAmp/,FALSE,Web:http://chronos.org/janusAmp/ Name:CHRONOS Email:dfils@oceanleadership.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
oceandrilling-codices,Ocean Drilling - Codices,offline,http://data.oceandrilling.org/sparql,FALSE,"Codices:  Drill Site and Expedition Data

Codices exposes general site data (location, depth, recovery, etc) along with publication links and other associated data.


We are still in a development mode and working in particular and the namespace URI's and their hosting. So some elements here will change as we tweak responsibility for maintaining namespaces and curating them. You are welcome (encouraged) to explore our sparql endpoint (http://data.oceandrilling.org/sparql) and engage us, comment and criticize. (Doug)

This site is guided by the linked data pattern (http://linkeddata.org/). Information on this effort and the steps being taken to expose data in this approach are described here.

This data represents only a small percentage of the data available but is sufficient for testing at this time. Additional data related to log files from LDEO, timescales from CHRONOS and data from TAMU are yet to be loaded. 

http://data.oceandrilling.org/linkeddata.html",http://data.oceandrilling.org/codices/,FALSE,Web:http://data.oceandrilling.org/codices/ Name:Consortium for Ocean Leadership Email:dfils@oceanleadership.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
norwegian-geo-divisions,Norwegian geo-divisions,-,http://data.lenka.no/sparql,http://www.opendefinition.org/licenses/cc-by,A dataset with Norwegian Administrative Divisions and their administrative centers.,http://data.lenka.no/,FALSE,Web:http://data.lenka.no/ Name:Kjetil Kjernsmo Email:kjetil@kjernsmo.net,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
