id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
opendatacommunities-dev-local-authority-services,opendatacommunities-dev-local-authority-services,-,,FALSE,,absent,FALSE,Web:absent Name:None Email:None,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
esd-standards,ESD Standards: Controlled lists for the UK public sector,-,,FALSE,Standard controlled vocabularies used within the UK public sector.,http://standards.esd.org.uk/,FALSE,Web:http://standards.esd.org.uk/ Name: Email:support@esd.org.uk,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
opendatacommunities-transparency-impact-indicators-troubled-families,opendatacommunities-transparency-impact-indicators-troubled-families,-,,FALSE,,absent,FALSE,Web:absent Name:None Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
reference-data-gov-uk,reference.data.gov.uk,-,http://services.data.gov.uk/reference/sparql,FALSE,"Reference data for linked UK government data:

* People
* Departments
* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)

### Linked Data API

Roots:

http://reference.data.gov.uk/doc/department
http://reference.data.gov.uk/doc/mp",http://reference.data.gov.uk/,FALSE,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
statistics-data-gov-uk,statistics.data.gov.uk,offline,http://services.data.gov.uk/statistics/sparql,FALSE,"Linked data about administrative areas used within UK government official statistics.

The various areas are typed using classes in the following namespaces:

* http://data.ordnancesurvey.co.uk/ontology/admingeo/
* http://statistics.data.gov.uk/def/administrative-geography/
* http://statistics.data.gov.uk/def/geography/",http://statistics.data.gov.uk/,FALSE,Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
open-energy-info-wiki,OpenEI - Open Energy Info,Available,http://en.openei.org/sparql,http://www.opendefinition.org/licenses/cc-zero,"### About

From website:

> Open Energy Info is a platform to connect the world?s energy data. It is a linked open data platform bringing together energy information to provide improved analyses, unique visualizations, and real-time access to data. OpenEI follows guidelines set by the White House?s Open Government Initiative , which is focused on transparency, collaboration, and participation. OpenEI strives to provide open access to this energy information, which will spur creativity and drive innovation in the energy sector.

### Openness

Project representatives confirmed [via email](http://lists.w3.org/Archives/Public/public-egov-ig/2010Mar/0008.html):

> The default license for all information in OpenEI I Creative Commons Zero (http://wiki.creativecommons.org/CC0_FAQ).  You can see this documented in a notice shown in the site's editing interface for any page (e.g. http://en.openei.org/w/index.php?title=Colorado&action=edit).

### Access

Project representatives confirmed [via email](http://lists.w3.org/Archives/Public/public-egov-ig/2010Mar/0008.html):

> As for bulk downloads of data...  We currently offer the following:

>> * ""Download CSV"" links are present on certain pages (e.g. http://en.openei.org/wiki/Map_of_Clean_Energy_Companies)
>> * A SPARQL endpoint for querying data (http://en.openei.org/sparql), plus a few examples of its use (http://en.openei.org/resources/)
>> * RDF Exports of any given page via the ""browse properties"" link (e.g. http://en.openei.org/wiki/Special:ExportRDF/Colorado)

> We realize that we could be doing more in this area, though.  A few things we're planning to do:

>> * Provide a bulk download of our complete RDF (similar to how one can get complete dbpedia exports)
>> * Provide a better way to find various datasets (and download them in various formats, such as RDF and CSV)
>> * Provide a mechanism for submitting bulk datasets which is separate from, but complementary to, our Wiki)",http://en.openei.org/,FALSE,Web:http://en.openei.org/ Name:OpenEI.org Email:openei.webmaster@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
cz-cuzk-legal-relationships-documents,Code lists of the legal relationships and documents,offline,http://linked.opendata.cz/sparql,http://www.opendefinition.org/licenses/cc-zero,Code lists of the legal relationships and documents in the Land register information system,http://ruian.linked.opendata.cz/resource/dataset/cuzk/pravni-vztahy-listiny,FALSE,Web:http://ruian.linked.opendata.cz/resource/dataset/cuzk/pravni-vztahy-listiny Name:Jakub Klímek Email:klimek@opendata.cz,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
cz-cuzk-cadastre-offices,Cadastre offices from Czech land registry,offline,http://linked.opendata.cz/sparql,http://www.opendefinition.org/licenses/cc-zero,Cadastre offices from Czech land registry,http://ruian.linked.opendata.cz/resource/dataset/cuzk/pracoviste-resortu,FALSE,Web:http://ruian.linked.opendata.cz/resource/dataset/cuzk/pracoviste-resortu Name:Jakub Klímek Email:klimek@opendata.cz,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
govtrack,GovTrack.us U.S Congress Legislative Data,-,http://www.rdfabout.com/sparql,FALSE,"U.S. Congress data including all Members of Congress since the beginning of the United States, legislative data including bills, sponsorship, roll call votes since around 1990.",http://www.govtrack.us,FALSE,"Web:http://www.govtrack.us Name:Civic Impulse, LLC Email:operations@govtrack.us",1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
