id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
bioportal-nmr,NMR-instrument specific component of metabolomics investigations,-,,FALSE,Descriptors relevant to the experimental conditions of the Nuclear Magnetic Resonance (NMR) component in a metabolomics investigation.,http://bioportal.bioontology.org/ontologies/1033,FALSE,Web:http://bioportal.bioontology.org/ontologies/1033 Name:Daniel Schober and MSI Ontology Working Group Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-acgt,Cancer Research and Management ACGT Master Ontology,-,,FALSE,The intention of the ACGT Master Ontology (MO) is to represent the domain of cancer research and management in a computationally tractable manner.,http://bioportal.bioontology.org/ontologies/1130,FALSE,Web:http://bioportal.bioontology.org/ontologies/1130 Name:Mathias Brochhausen Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-aero,Adverse Event Reporting ontology,-,,http://www.opendefinition.org/licenses/cc-by,"The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events.",http://bioportal.bioontology.org/ontologies/1580,FALSE,Web:http://bioportal.bioontology.org/ontologies/1580 Name:Melanie Courtot Email:,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
bioportal-bao,BioAssay Ontology,-,,FALSE,"The BioAssay Ontology (BAO) describes chemical biology screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis.  BAO is an extensible, knowledge-based, highly expressive (currently SHOIQ(D)) description of biological assays making use of descriptive logic based features of the Web Ontology Language (OWL).  BAO currently has over 1000 classes and also makes use of several other ontologies.  It describes several concepts related to biological screening, including Perturbagen, Format, Meta Target, Design,  Detection Technology, and Endpoint.  Perturbagens are perturbing agents that are screened in an assay; they are mostly small molecules. Assay Meta Target describes what is known about the biological system and / or its components interrogated in the assay (and influenced by the Perturbagen).  Meta target can be directly described as a molecular entity (e.g. a purified protein or a protein complex), or indirectly by a biological process or event (e.g. phosphorylation).  Format describes the biological or chemical features common to each test condition in the assay and includes biochemical, cell-based, organism-based, and variations thereof.  The assay Design describes the assay methodology and implementation of how the perturbation of the biological system is translated into a detectable signal.  Detection Technology relates to the physical method and technical details to detect and record a signal.  Endpoints are the final HTS results as they are usually published (such as IC50, percent inhibition, etc.).  BAO has been designed to accommodate multiplexed assays.  All main BAO components include multiple levels of sub-categories and specification classes, which are linked via object property relationships forming an expressive knowledge-based representation.",http://bioportal.bioontology.org/ontologies/1533,FALSE,Web:http://bioportal.bioontology.org/ontologies/1533 Name:Stephan Schurer Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-bdo,Bone Dysplasia Ontology,-,,FALSE,The Bone Dysplasia ontology provides a comprehensive and formal representation of the different domain concepts involved in documenting the full complexity of the skeletal dysplasia domain. It captures and combines the genetic features that discriminate the bone dysplasias with the multitude of phenotypic characteristics manifested by patients and required to be taken into account in order to support the diagnosis process.,http://bioportal.bioontology.org/ontologies/1613,FALSE,Web:http://bioportal.bioontology.org/ontologies/1613 Name:Tudor Groza Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-bfo,Basic Formal Ontology,-,,FALSE,"BFO grows out of a philosophical orientation which overlaps with that of DOLCE and SUMO. Unlike these, however, it is narrowly focused on the task of providing a genuine upper ontology which can be used in support of domain ontologies developed for scientific research, as for example in biomedicine within the framework of the OBO Foundry. Thus BFO does not contain physical, chemical, biological or other terms which would properly fall within the special sciences domains.",http://bioportal.bioontology.org/ontologies/1332,FALSE,Web:http://bioportal.bioontology.org/ontologies/1332 Name:Holger Stenzhorn Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-birnlex,BIRNLex,-,,FALSE,"The BIRN Project lexicon will provide entities for data and database annotation for the BIRN project, covering anatomy, disease, data collection, project management and experimental design.",http://bioportal.bioontology.org/ontologies/1089,FALSE,Web:http://bioportal.bioontology.org/ontologies/1089 Name:William Bug Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-canco,Cancer Chemoprevention Ontology,-,,FALSE,The Cancer Chemoprevention Ontology constitutes a vocabulary that is able to describe and semantically interconnect the different paradigms of the cancer chemoprevention domain.,http://bioportal.bioontology.org/ontologies/3030,FALSE,Web:http://bioportal.bioontology.org/ontologies/3030 Name:Dimitris Zeginis Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-cao,CAO,-,,FALSE,CAOontology is designed for supporting the COG enrichment study by using Fisher's exact test,http://bioportal.bioontology.org/ontologies/1582,FALSE,Web:http://bioportal.bioontology.org/ontologies/1582 Name:None Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-cheminf,Chemical Information Ontology,-,,http://www.opendefinition.org/licenses/cc-by-sa,Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.,http://bioportal.bioontology.org/ontologies/1444,FALSE,Web:http://bioportal.bioontology.org/ontologies/1444 Name:Cheminf discussion Email:,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
bioportal-clo,Cell Line Ontology,-,,FALSE,"The Cell Line Ontology (CLO) is a community-based ontology in domain of biological cell lines with a focus on permanent cell lines from culture collections. Upper ontology structures that frame the skeleton of CLO include Basic Formal Ontology and Relation Ontology. Cell lines contained in CLO are associated with terms from other ontologies such as Cell Type Ontology, NCBI Taxonomy, and Ontology for Biomedical Investigation. A common design pattern for the cell line is used to model cell lines and their attributes, the Jurkat cell line provides ane xample.  Currently CLO contains over 36,000 cell line entries obtained from ATCC, HyperCLDB, Coriell, and bymanual curation. The cell lines are derived from 194 cell types, 656 anatomical entries, and 217 organisms. The OWL-based CLO is machine-readable and can be used in various applications.",http://bioportal.bioontology.org/ontologies/1314,FALSE,Web:http://bioportal.bioontology.org/ontologies/1314 Name:Sirarat Sarntivijai Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
