id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
news-100-nif-ner-corpus,News-100 NIF NER Corpus,-,,http://www.opendefinition.org/licenses/cc-by,"This corpus comprises 100 German news articles from the online news platform news.de. All of the articles were published in the year of 2010 and contain the word Golf. This word is a homonym that can have the following meanings:
* A gulf like the Gulf of Mexico or the Persian Gulf, 
* the ball sport or
* a car model produced by the German manufacturer Volkswagen.

One researcher annotated the documents manually. Another researcher resolved occurring conflicts after supervising the corpus. Although the sport golf as well as the car are not within the class range of NER, they are kept for evaluation purposes",absent,FALSE,Web:absent Name:Ricardo Usbeck Email:ricardo.usbeck@googlemail.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-es,DBpedia in Spanish,Available,http://es.dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,These data correspond to the ontology DBpedia version 2014.,http://es.dbpedia.org,FALSE,Web:http://es.dbpedia.org Name:Mariano Rico Email:mariano.rico@fi.upm.es,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-nl,DBpedia in Dutch,offline,http://nl.dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia is a ""community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia, and to link other data sets on the Web to Wikipedia data. We hope this will make it easier for the amazing amount of information in Wikipedia to be used in new and interesting ways, and that it might inspire new mechanisms for navigating, linking and improving the encyclopaedia itself.""",http://nl.dbpedia.org,FALSE,Web:http://nl.dbpedia.org Name:Dutch DBpedia Team - http://nl.dbpedia.org/ Email:dbpedia-dutch@lists.sourceforge.net,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
dbpedia-abstract-corpus,DBpedia abstract corpus,-,,http://www.opendefinition.org/licenses/cc-by,"This corpus contains a conversion of Wikipedia abstracts in six languages (dutch, english, french, german, italian and spanish) into the I used the NLP Interchange Format (NIF). The corpus contains the abstract texts, as well as the position, surface form and linked article of all links in the text. As such, it contains entity mentions manually disambiguated to Wikipedia/DBpedia resources by native speakers, which predestines it for NER training and evaluation.

Furthermore, the abstracts represent a special form of text that lends itself to be used for more sophisticated tasks, like open relation extraction. Their encyclopedic style, following Wikipedia guidelines on opening paragraphs adds further interesting properties. The first sentence puts the article in broader context. Most anaphers will refer to the original topic of the text, making them easier to resolve. Finally, should the same string occur in different meanings, Wikipedia guidelines suggest that the new meaning should again be linked for disambiguation. In short: The type of text is highly interesting.

Acknowledgments: The conversion of this corpus was supported by the [FREME H2020 project](http://www.freme-project.eu/).",absent,FALSE,Web:absent Name:Martin Brümmer Email:bruemmer@informatik.uni-leipzig.de,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
universal-dependencies-treebank-croatian,Universal Dependencies Treebank Croatian,-,,http://www.opendefinition.org/licenses/cc-by-sa,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Croatian treebank.",https://github.com/UniversalDependencies/UD_Croatian,FALSE,"Web:https://github.com/UniversalDependencies/UD_Croatian Name:Agić, Željko; Ljubešić, Nikola Email:",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
olia,OLiA,-,,http://www.opendefinition.org/licenses/cc-by,"The Ontologies of Linguistic Annotations (OLiA) provide an OWL/DL taxonomy of data categories as a reference for linguistic annotation (OLiA Reference Model), plus OWL/DL models for a large number of annotation schemes (OLiA Annotation Models) and their relationship to reference data categories (OLiA Linking Models).
The OLiA Reference Model itself is linked to community-maintained repositories such as GOLD (http://linguistics-ontology.org/) and ISOcat (http://www.isocat.org)

The OLiA ontologies were originally developed as part of an infrastructure for the sustainable maintenance of linguistic resources (http://www.sfb441.uni-tuebingen.de/c2/index-engl.html), their fields of application include the formalization of annotation schemes, concept-based querying over heterogeneously annotated corpora, and the development of interoperable NLP pipelines.",http://purl.org/olia,FALSE,Web:http://purl.org/olia Name:Christian Chiarcos Email:christian.chiarcos@web.de,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
w3c-wordnet,WordNet 2.0 (W3C),-,,https://www.apache.org/licenses/LICENSE-2.0,"Presents a standard conversion of Princeton WordNet to RDF/OWL. It describes how it was converted and gives examples of how it may be queried for use in Semantic Web applications.

Editors:
Mark van Assem, Vrije Universiteit Amsterdam
Aldo Gangemi, ISTC-CNR, Rome
Guus Schreiber, Vrije Universiteit Amsterdam",http://www.w3.org/TR/wordnet-rdf,"Name: absent, email: onelove1h3art@gmail.com",Web:http://www.w3.org/TR/wordnet-rdf Name:W3C Email:public-swbp-wg@w3.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
sli_galnet_rdf,"SLI Galnet, the Galician wordnet, at version 3.0.26,  in RDF format",-,,http://www.opendefinition.org/licenses/cc-by,"SLI Galnet, the Galician wordnet, at version 3.0.26 (http://sli.uvigo.gal/galnet) in RDF (Resource Description Framework) format. This distribution includes linked multilingual lexical data for Galician, Catalan, Basque, Spanish, Portuguese and English, and integrates ontological knowledge from WordNet Domains, Adimen-SUMO, Top Ontology and Galnet Epinonyms",http://sli.uvigo.gal/download/SLI_Galnet/SLI_Galnet_RDF_3.0.26.tar.gz,FALSE,Web:http://sli.uvigo.gal/download/SLI_Galnet/SLI_Galnet_RDF_3.0.26.tar.gz Name:Miguel Anxo Solla Portela Email:miguelsolla@uvigo.es,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
lemonuby,lemonUby,-,,http://www.opendefinition.org/licenses/cc-by-sa,Export of UBY to lemon format,absent,FALSE,Web:absent Name: Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,0,1,1,0.75,1,1,0,1,0.75,3.03
