id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
b3kat,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",Available,http://lod.b3kat.de/sparql,http://www.opendefinition.org/licenses/cc-zero,"Joint Union Catalogue of 200 academic libraries in the german states of Bavaria, Berlin and Brandenburg. The data contains descriptions of 28Mio. titles and 69Mio. holdings available in these libraries. The available data dump in Turtle is approx. 9GB.",http://lod.b3kat.de,"Name: absent, email: bsb.it.allg@gmail.com","Web:http://lod.b3kat.de Name:Bavarian State Library, Bavarian Library Union, Cooperative Library Network Berlin-Brandenburg Email:lod@bsb-muenchen.de",1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.57
dewey_decimal_classification,Dewey Decimal Classification (DDC),offline,http://dewey.info/sparql.php,http://creativecommons.org/licenses/by-nc/2.0/,"Dewey.info is an experimental space for linked DDC data. The intention of the dewey.info prototype is to be a platform for Dewey data on the Web.

Included as linked data are the DDC Summaries (the top three levels of the DDC) of Edition 22 in 11 languages and all assignable numbers of Abridged Edition 14 in three languages. Classification semantics are encoded in RDF using SKOS and other element vocabularies. 

Every class also has an HTML representation (XHTML+RDFa) and several RDF serializations (RDF/XML, Turtle, JSON).

A SPARQL endpoint is available.

The data is reusable under the Creative Commons BY-NC-ND license.",http://dewey.info,FALSE,"Web:http://dewey.info Name:OCLC Online Computer Library Center, Inc. Email:http://www.oclc.org/dewey/",1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
lobid-resources,lobid-Bibliographic Resources,-,http://lobid.org/sparql/,http://www.opendefinition.org/licenses/cc-zero,"lobid-resources is a service which offers access to metadata in RDF about bibliographic resources (books, articles, pdfs etc.) with more than 19 million frbr:manifestations with more than 40 million frbr:items.
We also provide a raw data dump at http://thedatahub.org/dataset/hbz_unioncatalog .

Links to other datasets are provided in separate files, see below.

You can find additional information about this data [here](https://wiki1.hbz-nrw.de/display/SEM/2010/08/31/Linked-Open-hbz-Data).",http://lobid.org/resource,FALSE,Web:http://lobid.org/resource Name:North Rhine-Westphalian Library Service Center (hbz) Email:semweb@hbz-nrw.de,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
dm2e,DM2E,-,,http://www.opendefinition.org/licenses/cc-zero,Metadata about digitalised manuscripts coming from the DM2E project (http://dm2e.eu).,absent,FALSE,Web:absent Name:Dominique Ritze Email:dominique@informatik.uni-mannheim.de,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
lcsh,Library of Congress Subject Headings,-,,FALSE,"LCSH has been actively maintained since 1898 to catalog materials held at the Library of Congress. By virtue of cooperative cataloging other libraries around the United States also use LCSH to provide subject access to their collections. In addition LCSH is used internationally, often in translation.",http://id.loc.gov/authorities/,FALSE,Web:http://id.loc.gov/authorities/ Name: Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
dcs-sheffield,data.dcs,-,,FALSE,"Describes people, research groups and publications within the Department of Computer Science based at the University of Sheffield.

Publishes Linked Data in RDF.",http://data.dcs.shef.ac.uk/,FALSE,Web:http://data.dcs.shef.ac.uk/ Name:Matthew Rowe Email:m.rowe@dcs.shef.ac.uk,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.76
fu-berlin-dblp,DBLP Bibliography Database in RDF (FU Berlin),-,http://www4.wiwiss.fu-berlin.de/dblp/sparql,FALSE,"This is an RDF conversion of DBLP. The DBLP database provides bibliographic information on major computer science journals and conference proceedings including the WWW2006. The database contains more than 800.000 articles and 400.000 authors. 

This RDF conversion hasn't been updated since 2007.

Other RDF conversions of DBLP are available as package:l3s-dblp and package:rkb-explorer-dblp",http://www4.wiwiss.fu-berlin.de/dblp/,FALSE,Web:http://www4.wiwiss.fu-berlin.de/dblp/ Name:Christian Bizer Email:chris@bizer.de,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
rkb-explorer-nsf,National Science Foundation (RKBExplorer),-,http://nsf.rkbexplorer.com/sparql/,FALSE,,http://nsf.rkbexplorer.com,FALSE,Web:http://nsf.rkbexplorer.com Name:Hugh Glaser Email:hg@ecs.soton.ac.uk,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-acm,Association for Computing Machinery (ACM) (RKBExplorer),-,http://acm.rkbexplorer.com/sparql/,FALSE,"Linked Data version of publications of the Association for Computing Machinery (ACM), along with details of their authors.",http://acm.rkbexplorer.com/,FALSE,Web:http://acm.rkbexplorer.com/ Name:Hugh Glaser Email:hg@ecs.soton.ac.uk,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
