id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
miguiadeviajes-gnoss,"Mi Guía de Viajes, colección de guías de viaje para viajeros (GNOSS)",-,,http://creativecommons.org/licenses/by-nc/2.0/,"<a href=""http://miguiadeviajes.net/"">MiGuiadeViajes.net</a>
is a semantic collection of travel guides, sightseeing tours and trips especially recommended for tourists, travellers and backpackers. The community allows you to find where to go, where to eat or sleep in different countries, regions and cities with the GNOSS facet-based search engine.
<a href=""http://gnoss.com/"">GNOSS</a>
promotes this community based on the standards of the Semantic Web and Linked Open Data. MiGuiadeViajes.net offers a selection of 3,533 resources (November 2012). The content of Miguiadeviajes.net belongs to 
<a href=""http://thedatahub.org/dataset/webnmasunotraveler"">El Viajero's tourism dataset</a>
, that integrates the various contents from newspapers and digital platforms belonging to the Prisa Digital Group in the domain of news and blogs about travel.
</p>

<p>
Guías de viaje, rutas turísticas y escapadas componen 
<a href=""http://miguiadeviajes.net/"">MiGuiadeViajes.net</a>
, una selección de recomendaciones para viajeros, turistas y aventureros. La comunidad permite buscar dónde ir, dónde
<strong> </strong>
comer o dónde dormir por países, regiones y ciudades gracias al 
<a href=""http://gnoss.com/comunidad/nextweb/recurso/Busquedas-facetadas-o-razonadas/13fd22d5-704d-412c-b35f-31ddc4b7238e"">buscador facetado de GNOSS</a>
.
</p>
<p>
<a href=""http://gnoss.com/"">GNOSS</a>
 promueve esta comunidad  desarrollada y fundamentada en los estándares de la Web Semántica y de los Datos Abiertos Enlazados (Linked Open Data). MiGuiadeViajes.net dispone en la actualidad de 3.533 recursos (Noviembre 2012). El contenido procede del
<a href=""http://thedatahub.org/dataset/webnmasunotraveler"">dataset de El Viajero</a>
, que integra artículos, guías y reportajes turísticos de los periódicos y plataformas digitales del Grupo Prisa.
</p>",http://miguiadeviajes.net,FALSE,Web:http://miguiadeviajes.net Name:GNOSS Team Email:gnoss@gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
dbpedia,DBpedia,Available,http://dbpedia.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"DBpedia.org is a community effort to extract structured information from Wikipedia and to make this information available on the Web. DBpedia allows you to ask sophisticated queries against Wikipedia and to link other datasets on the Web to Wikipedia data.

The English version of the DBpedia knowledge base currently describes 6.0M entities of which 4.6M have abstracts, 1.53M have geo coordinates and 1.6M depictions. In total, 5.2M resources are classified in a consistent ontology, consisting of 1.5M persons, 810K places (including 505K populated places), 490K works (including 135K music albums, 106K films and 20K video games), 275K organizations (including 67K companies and 53K educational institutions), 301K species and 5K diseases. The total number of resources in English DBpedia is 16.9M that, besides the 6.0M resources, includes 1.7M skos concepts (categories), 7.3M redirect pages, 260K disambiguation pages and 1.7M intermediate nodes.
 
Altogether the DBpedia 2016-04 release consists of 9.5 billion (2015-10: 8.8 billion) pieces of information (RDF triples) out of which 1.3 billion (2015-10: 1.1 billion) were extracted from the English edition of Wikipedia, 5.0 billion (2015-04: 4.4 billion) were extracted from other language editions and 3.2 billion (2015-10: 3.2 billion) from DBpedia Commons and Wikidata. In general, we observed a growth in mapping-based statements of about 2%.
 
Thorough statistics can be found on the DBpedia website and general information on the DBpedia datasets here.",http://dbpedia.org/,FALSE,Web:http://dbpedia.org/ Name:DBpedia Team - http://wiki.dbpedia.org/Imprint Email:dbpedia-discussion@lists.sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,
interactivemaps-gnoss,"Interactive Maps, a collection of interactive flash maps (GNOSS)",-,,http://creativecommons.org/licenses/by-nc/2.0/,"<p>
<a href=""http://mapasinteractivos.didactalia.net/"">Mapas interactivos</a> is a collection of interactive flash maps developed by 
<a href=""http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos/perfil/Enrique-Alonso-Guti%C3%A9rrez/"">Enrique Alonso</a>
 to facilitate the physical and political geography learning. It includes maps of Spain and its autonomies, Europe and its countries, the European Union, Asia, Africa, and America and countries of America. The project, with maps in 10 languages, is part of <a href=""http://didactalia.net/"">Didactalia (GNOSS)</a>.
</p>
<p>
Mapas interactivos works with 
<a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>
. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. Mapas interactivos offers a selection of 841 maps (November 2012). It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.
</p>

<p>
<a href=""http://mapasinteractivos.didactalia.net/"">Mapas interactivos</a>
 es una colección de mapas en flash elaborados por <a href=""http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos/perfil/Enrique-Alonso-Guti%C3%A9rrez/"">Enrique Alonso</a> para facilitar el aprendizaje de Geografía (física y política). Incluye mapas de España y sus Comunidades Autónomas; países de Europa, Europa y la Unión Europea; Asia; África; y países de América y América. El proyecto forma parte de <a href=""http://didactalia.net/"">Didactalia (GNOSS)</a> y está en 10 idiomas.
</p>
<p>
Mapas interactivos trabaja con 
<a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. Mapas interactivos ofrece en este caso una colección con 841 mapas en flash (Octubre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.
</p>",http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos,FALSE,Web:http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos Name:GNOSS Team Email:gnoss@gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
didactalia,"Didactalia, índice de recursos educativos para profesores, padres y alumnos (GNOSS)",-,,http://creativecommons.org/licenses/by-nc/2.0/,"<p>
<a href=""http://didactalia.net/"">Didactalia.net</a>
 is a K-12 global community and an storage place for teachers, students and parents to create, share and find open educational resources that has currently more than 50,000 items with semantic contexts. In Didactalia.net, users can create, share and discover content and promote educational spaces where they can use lessons with facet based searches and enriched contexts. The project also offers a Personal Learning Environment (PLE) that includes an online reputation management service and a space where learners take control, communicate and cope with their own learning upgraded with personalized contexts. The Semantic Technology, the use of Linked Open Data and the creation of an ecosystem of learning communities in the context of Social Learning form the core of Didactalia.net. In this sense, the community aims to build an educational graph that gives meaning to distributed education and fragmented work of many teachers. This knowledge is managed on learning patterns and sequences that make sense for the educational community.
</p>
<p>
<a href=""http://gnoss.com/"">GNOSS (RIAM Intelearning Lab)</a>
promotes Didactalia.net.
</p>
<p>
<a href=""http://didactalia.net/"">Didactalia.net</a>
 es una comunidad educativa global para profesores, padres y estudiantes desde la Educación Infantil hasta el Bachillerato que incluye una colección con más de 50.000 recursos educativos abiertos. En ella, los usuarios pueden crear, compartir y descubrir contenidos educativos y promover clases y comunidades de aprendizaje en las que trabajar lecciones en un espacio social con búsquedas facetadas y contextos enriquecidos. En cuanto a identidad digital, Didactalia.net propone un Entorno Personal de Aprendizaje (PLE), que incluye herramientas semánticas y sociales para gestionar la reputación y un espacio en el que el usuario recoge, expone y comparte sus contenidos de aprendizaje. La tecnología semántica, el aprovechamiento de los datos abiertos enlazados (
<a href=""http://linkeddata.org/"">Linked Data</a>
) y la creación de un ecosistema de comunidades de aprendizaje en un contexto de Social Learning configuran el núcleo de Didactalia.net. En este sentido, la comunidad aspira a la construcción de un grafo educativo que dé sentido al trabajo distribuido y atomizado de muchos profesores y que esté organizado sobre patrones y secuencias de aprendizaje que tengan sentido para la comunidad educativa.
</p>
<p>
<a href=""http://gnoss.com/"">GNOSS (RIAM Intelearning Lab)</a>
promueve Didactalia.net.
</p>",http://didactalia.net,FALSE,Web:http://didactalia.net Name:GNOSS Team Email:gnoss@gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
flickr-wrappr,flickr? wrappr,-,,FALSE,"The flickr wrappr extends DBpedia with RDF links to photos posted on flickr. For each of the 1.95 million DBpedia concepts, the wrappr generates a collection of flickr photos that depict the concept.",http://www4.wiwiss.fu-berlin.de/flickrwrappr,FALSE,Web:http://www4.wiwiss.fu-berlin.de/flickrwrappr Name:Christian Becker Email:chris@beckr.org,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
revyu,Revyu.com - Review Anything,-,http://revyu.com/sparql,FALSE,"Universal review site. RDF-based API, SPARQL endpoint.",http://revyu.com/,FALSE,Web:http://revyu.com/ Name:Tom Heath Email:contact@revyu.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
https:www.childrensartmuseum.grLD-project,Greek Children Art  Museum dataset,-,,http://www.opendefinition.org/licenses/cc-by-sa,"The ""LD-project"" deals with the creation of cultural Open Linked Data (LOD), based on the artifacts of Greek Children Art Museum, in Greece, Athens. It was created in the frame of Master Thesis of MSc. students, Marini Efstathia and Chondrogianni Maria, in Cultural Informatics postgraduate program at the Department of Cultural Technology and Communication of the University of the Aegean.
DCAT Description: https://www.childrensartmuseum.gr/LD-project/",https://www.childrensartmuseum.gr/LD-project/,"Name: absent, email: sotiriosangelis@gmail.com",Web:https://www.childrensartmuseum.gr/LD-project/ Name:Sotiris Angelis Email:sotiris@aegean.gr,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
wikidata,Wikidata,Available,https://query.wikidata.org/sparql,http://www.opendefinition.org/licenses/cc-zero,free knowledge database project hosted by Wikimedia and edited by volunteers,https://www.wikidata.org/,"Name: absent, email: f.mambrini@gmail.com",Web:https://www.wikidata.org/ Name:Lucas Werkmeister Email:wikidata@wikimedia.de,1,1,1,0.89,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.73
rubenverborgh,Ruben Verborgh's data,-,,http://www.opendefinition.org/licenses/cc-zero,"Data about Ruben Verborgh's professional activities, including metadata about publications, blog posts, and people.",https://data.verborgh.org/ruben,FALSE,Web:https://data.verborgh.org/ruben Name:Ruben Verborgh Email:,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
red-uno-internacional-santillana,Red Uno Internacional (Santillana),-,,http://creativecommons.org/licenses/by-nc/2.0/,"<p>
<a href=""http://reduno-internacional.com/comunidad/unoi"">Red UNO Internacional (Santillana) </a> is a support community for teachers of Sistema UNO, an educational project that manages the digitization of school, the training of the entire school community and the evaluation of their actions. The proposal provides everything needed to satisfy the standard parameters set by UNESCO and achieves the highest levels of educational quality indicators as PISA ranking.
</p>
<p>
Red Uno Internacional (Grupo Santillana) works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. Red Uno Internacional (Santillana) offers a selection of 69 resources (November 2012). It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.
</p>

<p>
<a href=""http://reduno-internacional.com/comunidad/unoi"">Red UNO Internacional (Santillana)</a>
es un comunidad de apoyo a los docentes que participan en <a href=""http://www.sistemauno.com"">Sistema UNO</a>, proyecto educativo que gestiona la digitalización de la escuela, la formación permanente de toda la comunidad educativa y la evaluación constante de sus acciones. La propuesta provee de todo lo necesario para cumplir con los parámetros establecidos por la UNESCO y alcanzar los más altos niveles de calidad educativa que marcan los indicadores internacionales como PISA.
</p>
<p>
Red Uno Internacional (Santillana) trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. Red Uno Internacional (Santillana) ofrece en este caso una selección de 69 recursos (Noviembre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.
</p>",http://reduno-internacional.com/en/community/unoi,FALSE,Web:http://reduno-internacional.com/en/community/unoi Name:GNOSS Team Email:gnoss@gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
