id,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
icane,http://www.icane.es/semantic-web,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
dbpedia,http://dbpedia.org/,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-es,http://es.dbpedia.org,,,,,,,,,,,,,,,,,,,,,,,
geographic-names-information-system-gnis,absent,1,0,1,0.67,1,1,0.78,0.5,1,0,1,0.62,0,1,0,1,0.5,0,1,0,1,0.5,2.4
lod2-project-wiki,http://lod2.eu,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
open-data-thesaurus,http://vocabulary.semantic-web.at/PoolParty/wiki/OpenData,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.83
opencalais,http://www.opencalais.com/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
foodpedia,http://foodpedia.tk,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
ispra-lod-place,absent,1,0.3,1,0.89,1,1,0.86,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.61
linked-crunchbase,http://km.aifb.kit.edu/services/crunchbase/api/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
talis-openlibrary,http://api.talis.com/stores/openlibrary,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.51
dbpedia-el,http://wiki.el.dbpedia.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
opencyc,http://sw.opencyc.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
yago,http://yago-knowledge.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
enipedia,http://enipedia.tudelft.nl,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
Suface_Forestière_Mondiale_1990-2016,https://data.world/mhoangvslev/suface-forestire-mondiale-1990-2016,,,,,,,,,,,,,,,,,,,,,,,
w3c,absent,1,0,1,0.56,1,1,0.76,1,1,0,1,0.75,0,0,0,1,0.25,0,1,0,1,0.5,2.26
meducator,http://linkededucation.org/meducator,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
productontology,http://www.productontology.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
influence-tracker-dataset,http://www.influencetracker.com,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
muninn-world-war-i,rdf.muninn-project.org,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
nobelprizes,http://www.nobelprize.org/nobel_organizations/nobelmedia/nobelprize_org/developer/manual-linkeddata/terms.html,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
epa-rcra,https://opendata.epa.gov,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
epa-frs,https://opendata.epa.gov,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
umbel,http://umbel.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
museums-in-italy,http://www.linkedopendata.it/datasets/musei,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
dbpedia-pt,http://pt.dbpedia.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
sandrart-net,http://ta.sandrart.net/edition-information/services/linked-open-data-rdf/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
dnb-gemeinsame-normdatei,https://www.dnb.de/lds,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
NITP,http://www.nitp.ac.in/php/home.php,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
lak-dataset,http://www.solaresearch.org/resources/lak-dataset/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
thecontentwrangler-com,https://thecontentwrangler.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
