id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
opendatacommunities-dev-local-authority-services,opendatacommunities-dev-local-authority-services,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
esd-standards,ESD Standards: Controlled lists for the UK public sector,http://standards.esd.org.uk/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
opendatacommunities-transparency-impact-indicators-troubled-families,opendatacommunities-transparency-impact-indicators-troubled-families,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
reference-data-gov-uk,reference.data.gov.uk,http://reference.data.gov.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
statistics-data-gov-uk,statistics.data.gov.uk,http://statistics.data.gov.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
open-energy-info-wiki,OpenEI - Open Energy Info,http://en.openei.org/,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,DBpedia,http://dbpedia.org/,,,,,,,,,,,,,,,,,,,,,,,
cz-cuzk-legal-relationships-documents,Code lists of the legal relationships and documents,http://ruian.linked.opendata.cz/resource/dataset/cuzk/pravni-vztahy-listiny,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
cz-cuzk-cadastre-offices,Cadastre offices from Czech land registry,http://ruian.linked.opendata.cz/resource/dataset/cuzk/pracoviste-resortu,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
govtrack,GovTrack.us U.S Congress Legislative Data,http://www.govtrack.us,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
opendatacommunities-homelessness-households-accommodated-temporary-housing-types,opendatacommunities-homelessness-households-accommodated-temporary-housing-types,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
english-index-of-multiple-deprivation-ranking-2010,English Index of Multiple Deprivation Ranking 2010,http://opendatacommunities.org/data/imd-rank-2010,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.57
odc-lsoa,Open Data Communities - Lower layer Super Output Areas,http://opendatacommunities.org/datasets/geography,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.07
uk-legislation-api,UK Legislation,http://www.legislation.gov.uk/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
fu-berlin-eurostat,Eurostat in RDF (FU Berlin),http://www4.wiwiss.fu-berlin.de/eurostat/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
eurostat-rdf,Eurostat RDF datasets,http://ec.europa.eu/eurostat/ramon/rdfdata/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
cipfa,CIPFA,http://www.cipfa.org.uk,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
cz-cenia-irz-chemicals,Chemicals reported to the Integrated register of pollution,http://linked.opendata.cz/resource/dataset/cenia-irz-chemicals,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
cz-cenia-pollution,Integrated pollution registry,http://linked.opendata.cz/resource/dataset/cenia.cz/irz,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
opendatacommunities-homelessness-acceptances-per-1000,opendatacommunities-homelessness-acceptances-per-1000,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
cz-czso-job-applicants-and-unemployment-rate,Job applicants and unemployment rate in regions of Czech Republic,http://data.czso.cz/resource/dataset/job-applicants-and-unemployment-rate,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
cz-ruian,"Registry of territorial identification, addresses and real estate of the Czech Republic",https://ruian.linked.opendata.cz/zdroj/datová-sada/rúian,1,0.8532,1,0.89,1,1,0.96,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.21
data-gov-uk-time-intervals,data.gov.uk Time Intervals,http://www.epimorphics.com/web/wiki/using-interval-set-uris-statistical-data,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
education-data-gov-uk,education.data.gov.uk,http://education.data.gov.uk/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
research-data-gov-uk,research.data.gov.uk,http://research.data.gov.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
government-web-integration-for-linked-data,GovWILD - Government Web Integration for Linked Data,http://govwild.hpi-web.de/project/govwild-sources.html,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
transport-data-gov-uk,transport.data.gov.uk,http://transport.data.gov.uk/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
london-gazette,The London Gazette - Gazettes Data,http://www.london-gazette.co.uk/mashup/gazettesdata.htm,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
