id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
news-100-nif-ner-corpus,News-100 NIF NER Corpus,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
dbpedia,DBpedia,http://dbpedia.org/,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-es,DBpedia in Spanish,http://es.dbpedia.org,,,,,,,,,,,,,,,,,,,,,,,
dbpedia-nl,DBpedia in Dutch,http://nl.dbpedia.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
dbpedia-abstract-corpus,DBpedia abstract corpus,absent,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
universal-dependencies-treebank-croatian,Universal Dependencies Treebank Croatian,https://github.com/UniversalDependencies/UD_Croatian,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
olia,OLiA,http://purl.org/olia,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
w3c-wordnet,WordNet 2.0 (W3C),http://www.w3.org/TR/wordnet-rdf,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
sli_galnet_rdf,"SLI Galnet, the Galician wordnet, at version 3.0.26,  in RDF format",http://sli.uvigo.gal/download/SLI_Galnet/SLI_Galnet_RDF_3.0.26.tar.gz,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
lemonuby,lemonUby,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,0,1,1,0.75,1,1,0,1,0.75,3.03
