id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
miguiadeviajes-gnoss,"Mi Guía de Viajes, colección de guías de viaje para viajeros (GNOSS)",http://miguiadeviajes.net,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
dbpedia,DBpedia,http://dbpedia.org/,,,,,,,,,,,,,,,,,,,,,,,
interactivemaps-gnoss,"Interactive Maps, a collection of interactive flash maps (GNOSS)",http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
didactalia,"Didactalia, índice de recursos educativos para profesores, padres y alumnos (GNOSS)",http://didactalia.net,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
flickr-wrappr,flickr? wrappr,http://www4.wiwiss.fu-berlin.de/flickrwrappr,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
revyu,Revyu.com - Review Anything,http://revyu.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
https:www.childrensartmuseum.grLD-project,Greek Children Art  Museum dataset,https://www.childrensartmuseum.gr/LD-project/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
wikidata,Wikidata,https://www.wikidata.org/,1,1,1,0.89,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.73
rubenverborgh,Ruben Verborgh's data,https://data.verborgh.org/ruben,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
red-uno-internacional-santillana,Red Uno Internacional (Santillana),http://reduno-internacional.com/en/community/unoi,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
abc,SummerOlympics,http://www.semanticweb.org/acer/ontologies/2021/11/untitled-ontology-6,1,0,1,0.78,1,1,0.8,0.5,1,0,1,0.62,1,1,0,1,0.75,0,1,0,1,0.5,2.67
ineverycrea,"IneveryCREA, la comunidad de la creatividad educativa",http://ineverycrea.net/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
ineverycrea-argentina,"IneveryCREA Argentina, la comunidad de la creatividad educativa",http://ineverycrea.net/en/community/ineverycreaargentina,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
ASCDC-Qing-Secret-Societies,Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan),https://www1.ihp.sinica.edu.tw/en/Fellows/Shu-Jiun_Chen,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
ASCDC-DQOT,Database of Qing Official Titles (DQOT),https://data.ascdc.tw/en/data.php,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
ASCDC_-_DNB,Database of Names and Biographies (DNB),https://data.ascdc.tw/en/data.php,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
green-competitiveness-gnoss,Green Competitiveness (GNOSS),http://red.gnoss.com/en/community/greencompetitiveness,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
aegp-spanish-textile-and-clothing-association,"AEGP, Spanish Textile and Clothing Association",http://red.gnoss.com/comunidad/buscaempresas,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
