id,title,url,success,error,score_pct,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,score_R1.4,recommendation_F1A,recommendation_F1B,recommendation_F2,recommendation_F3,recommendation_F4,recommendation_A1.1,recommendation_A1.2,recommendation_A2,recommendation_I1,recommendation_I2,recommendation_I3,recommendation_R1.1,recommendation_R1.2,recommendation_R1.3,recommendation_R1.4,comment_F1A,comment_F1B,comment_F2,comment_F3,comment_F4,comment_A1.1,comment_A1.2,comment_A2,comment_I1,comment_I2,comment_I3,comment_R1.1,comment_R1.2,comment_R1.3,comment_R1.4,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg,metrics_evaluated,score_F2A,recommendation_F2A,comment_F2A,score_F2B,recommendation_F2B,comment_F2B,score_NONE,recommendation_NONE,comment_NONE
bioportal-dc_cl,Dendritic cell,http://bioportal.bioontology.org/ontologies/1144,True,,16.67,0.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.167,12,0.0,,,0.0,,,,,
bioportal-mao,Multiple alignment,http://bioportal.bioontology.org/ontologies/1026,True,,16.67,0.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.167,12,0.0,,,0.0,,,,,
linkedct,LinkedCT,http://linkedct.org/,True,,75.0,2.0,0.0,,,,2.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,1.0,2.0,0.667,1.0,0.333,9.0,0.75,12,1.0,,,1.0,,,,,
bioportal-omit,Ontology for MicroRNA Target Prediction,http://bioportal.bioontology.org/ontologies/1505,True,,16.67,0.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.167,12,0.0,,,0.0,,,,,
bioportal-tmo,Translational Medicine Ontology,http://bioportal.bioontology.org/ontologies/1461,True,,16.67,0.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.167,12,0.0,,,0.0,,,,,
microbe_masst,microbe_masst,https://github.com/robinschmid/microbe_masst,True,,33.33,2.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.333,12,0.0,,,0.0,,,,,
monarch-disease-ontology-retired,Monarch Disease Ontology (retired),https://github.com/monarch-initiative/monarch-disease-ontology-RETIRED,True,,33.33,2.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.333,12,0.0,,,0.0,,,,,
hspo-ontology,HSO‑Ontology,https://github.com/IBM/hspo-ontology,True,,33.33,2.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.333,12,0.0,,,0.0,,,,,
diamond,DIAMOND,https://github.com/idaholab/DIAMOND,True,,33.33,2.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.333,12,0.0,,,0.0,,,,,
genealogical-trees,Genealogical Trees,https://github.com/blokhin/genealogical-trees,True,,33.33,2.0,0.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.333,12,0.0,,,0.0,,,,,
