id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
bio2rdf-chembl,Bio2RDF::Chembl,http://chembl.bio2rdf.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
fu-berlin-drugbank,DrugBank,http://www4.wiwiss.fu-berlin.de/drugbank/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio2rdf-goa,Bio2RDF::Goa,http://goa.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-homologene,Bio2RDF::Homologene,http://homologene.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-irefindex,Bio2RDF::Irefindex,http://irefindex.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-mesh,Bio2RDF::Mesh,http://mesh.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-ndc,Bio2RDF::Ndc,http://ndc.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-pharmgkb,Bio2RDF::Pharmgkb,http://pharmgkb.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-orphanet,Bio2RDF::Orphanet,http://orphanet.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-sabiork,Bio2RDF::Sabiork,http://sabiork.bio2rdf.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio2rdf-sider,Bio2RDF::Sider,http://sider.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-taxon,bio2rdf-taxon,http://taxon.bio2rdf.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio2rdf-wormbase,Bio2RDF::Wormbase,http://wormbase.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bioportal-mccl_x1,Cell line ontology,https://bioportal.bioontology.org/ontologies/CLO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-apo,Ascomycete phenotype ontology,https://bioportal.bioontology.org/ontologies/APO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-nmr,NMR-instrument specific component of metabolomics investigations,https://old.datahub.io/zh_TW/dataset/bioportal-nmr,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioportal-sio,SemanticScience Integrated Ontology,https://bioportal.bioontology.org/ontologies/SIO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-fypo,Fission Yeast Phenotype Ontology,https://bioportal.bioontology.org/ontologies/FYPO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mod,Protein modification,https://bioportal.bioontology.org/ontologies/PSIMOD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-imr,Molecule role (INOH Protein name/family name ontology),http://linkeddatacatalog.dws.informatik.uni-mannheim.de/id/dataset/bioportal-imr,2,2,,,,2,0,,2,2,2,0,2,2,8,2,2,1,6,2,4,1.333,20,1.667
bioportal-nif_cell,NIF Cell,https://bioportal.bioontology.org/ontologies/NIFCELL,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-wbphenotype,C. elegans phenotype,https://bioportal.bioontology.org/ontologies/WB-PHENOTYPE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
jita,JITA Classification System of Library and Information Science,http://www.destin-informatique.com/ASKOSI/Wiki.jsp?page=JITA%20Maintenance,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioportal-efo,Experimental Factor Ontology,https://bioportal.bioontology.org/ontologies/EFO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-aeo,Anatomical Entity Ontology,https://bioportal.bioontology.org/ontologies/AEO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-rex,Physico-chemical process,https://bioportal.bioontology.org/ontologies/REX,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-geospecies,GeoSpecies Ontology,https://bioportal.bioontology.org/ontologies/GEOSPECIES,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-chebi,Chemical entities of biological interest,https://bioportal.bioontology.org/ontologies/CHEBI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-rnao,RNA ontology,https://bioportal.bioontology.org/ontologies/RNAO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-lipro,Lipid Ontology,https://bioportal.bioontology.org/ontologies/LIPRO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-hao,Hymenoptera Anatomy Ontology,https://bioportal.bioontology.org/ontologies/HAO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-fbdv,Drosophila development,https://bioportal.bioontology.org/ontologies/FB-DV,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-fbbt,Drosophila gross anatomy,https://bioportal.bioontology.org/ontologies/FB-BT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-bto,BRENDA tissue / enzyme source,https://bioportal.bioontology.org/ontologies/BTO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ncbitaxon,NCBI organismal classification,https://bioportal.bioontology.org/ontologies/NCBITAXON,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-pw,Pathway ontology,https://bioportal.bioontology.org/ontologies/PW,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ogi,Ontology for Genetic Interval,https://bioportal.bioontology.org/ontologies/OGI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),https://old.datahub.io/bg/dataset/bioportal-ev,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioportal-ehdaa,"Human developmental anatomy, abstract version",https://bioportal.bioontology.org/ontologies/EHDAA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mmo,Measurement Method Ontology,https://bioportal.bioontology.org/ontologies/MMO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ido,Infectious Disease Ontology,https://bioportal.bioontology.org/ontologies/IDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-cheminf,Chemical Information Ontology,https://bioportal.bioontology.org/ontologies/CHEMINF,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-npo,NanoParticle Ontology,https://bioportal.bioontology.org/ontologies/NPO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
chempedia-rdf,ChemPedia RDF,http://figshare.com/articles/ChemPedia_as_RDF/681678,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mego,MeGO,https://bioportal.bioontology.org/ontologies/MEGO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
addgene,Addgene,http://www.addgene.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bioportal-exo,ExO,https://bioportal.bioontology.org/ontologies/EXO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
