id,title,url
bioportal-dc_cl,Dendritic cell,http://bioportal.bioontology.org/ontologies/1144
bioportal-mao,Multiple alignment,http://bioportal.bioontology.org/ontologies/1026
linkedct,LinkedCT,http://linkedct.org/
bioportal-omit,Ontology for MicroRNA Target Prediction,http://bioportal.bioontology.org/ontologies/1505
bioportal-tmo,Translational Medicine Ontology,http://bioportal.bioontology.org/ontologies/1461
microbe_masst,microbe_masst,https://github.com/robinschmid/microbe_masst
monarch-disease-ontology-retired,Monarch Disease Ontology (retired),https://github.com/monarch-initiative/monarch-disease-ontology-RETIRED
hspo-ontology,HSO‑Ontology,https://github.com/IBM/hspo-ontology
diamond,DIAMOND,https://github.com/idaholab/DIAMOND
genealogical-trees,Genealogical Trees,https://github.com/blokhin/genealogical-trees
joint-food-ontology-wg,Joint Food Ontology WG,https://github.com/FoodOntology/joint-food-ontology-wg
disease-ontology,Disease Ontology,https://github.com/20KD1A05C1/Disease-ontology
osdu-ontology,OSDU Ontology,https://github.com/Accenture/OSDU-Ontology
plant-ontology,Plant-ontology,https://github.com/Planteome/plant-ontology
ontie,ONTIE,https://github.com/IEDB/ONTIE
auto,Auto,https://github.com/lu-w/auto
plant-stress-ontology,Plant-stress-ontology,https://github.com/Planteome/plant-stress-ontology
foodbiomarkerontology,FoodBiomarkerOntology,https://github.com/pcastellanoescuder/FoodBiomarkerOntology
obsolete-hdo,Obsolete-hdo,https://github.com/obophenotype/obsolete-hdo
rsc-cmo,Rsc-cmo,https://github.com/rsc-ontologies/rsc-cmo
mcog-core,Mcog-core,https://github.com/galaxy-brain-ai/mcog-core
flybase-controlled-vocabulary,Flybase-controlled-vocabulary,https://github.com/FlyBase/flybase-controlled-vocabulary
plant-experimental-conditions-ontology,Plant-experimental-conditions-ontology,https://github.com/Planteome/plant-experimental-conditions-ontology
developmental-stage-ontologies,Developmental-stage-ontologies,https://github.com/obophenotype/developmental-stage-ontologies
zebrafish-phenotype-ontology,Zebrafish-phenotype-ontology,https://github.com/obophenotype/zebrafish-phenotype-ontology
fungal-anatomy-ontology,Fungal-anatomy-ontology,https://github.com/obophenotype/fungal-anatomy-ontology
hetontology,Hetontology,https://github.com/greenelab/hetontology
mobio,Mobio,https://github.com/arpcard/mobio
sfwo,Sfwo,https://github.com/soilfoodwebontology/sfwo
nfdi4plants_ontology,Nfdi4plants_ontology,https://github.com/nfdi4plants/nfdi4plants_ontology
gene-ontology,Gene-Ontology,https://github.com/nvenetsianou/Gene-Ontology
conso,Conso,https://github.com/pharmacome/conso
healthont,HealthOnt,https://github.com/mubashar-iqbal/HealthOnt
heron-ontology,HERON-Ontology,https://github.com/ioannidou135/HERON-Ontology
ontologyandqahealth,OntologyAndQAHealth,https://github.com/shramanpadhalni-web/OntologyAndQAHealth
diagnosis_support,Diagnosis_support,https://github.com/RonaldoDev/diagnosis_support
codmo,CoDMO,https://github.com/mhxu1998/CoDMO
miaf-ontology,MIAF-Ontology,https://github.com/SICASFoundation/miaf-ontology
ontology-covid-patients,Ontology for COVID-19 Patients,https://github.com/RacimRgh/Ontology-Covid-Patients
tibb-nabawi,Tibb Nabawi Ontology,https://github.com/mimi02/Tibb-Nabawi
toxicology-ontology,Toxicology Ontology,https://github.com/mac389/toxicology-ontology
gliomarker,Gliomarker,https://github.com/yjcyxky/gliomarker
clinical_trial_ontology,Clinical Trial Ontology,https://github.com/leonqli/clinical_trial_ontology
clinreason,ClinReason,https://github.com/ozborn/clinreason
cdt-ontology,CDT Ontology,https://github.com/SNUBiKE/CDT-Ontology
autocoo,AutoCOO,https://github.com/dfdazac/autocoo
ecmo,ECMO Ontology,https://github.com/reality/ECMO
ontology-of-clinical-research,Ontology of Clinical Research,https://github.com/samsontu/ontology-of-clinical-research
pacco,PACCO,https://github.com/innovamol/PaCCO
obci,OBCI,https://github.com/clinical-biomarkers/OBCI
ontology-of-traditional-chinese-medicine,Ontology of Traditional Chinese Medicine,https://github.com/TomLundholm/Ontology-of-Traditional-Chinese-Medicine
bim-biomedical-image-ontology,BIM Biomedical Image Ontology,https://github.com/bukharilab/BIM-Biomedical-Image-Ontology
debio,DEBIO,https://github.com/biopragmatics/debio
yggdrasil,Yggdrasil,https://github.com/JDRomano2/yggdrasil
gene_ontology,Gene_Ontology,https://github.com/sasikanthpotu/Gene_Ontology
pathogenesis-gene-ontology,Pathogenesis Gene Ontology,https://github.com/jhuapl-bio/pathogenesis-gene-ontology
geneontology.jl,GeneOntology.jl,https://github.com/bicycle1885/GeneOntology.jl
geneontologygraphdb,GeneOntologyGraphDB,https://github.com/nachocab/geneOntologyGraphDB
bacteria-ontologia,Bacteria Ontologia,https://github.com/Junjingw/bacteria-ontologia
gene_onotology_obo_tools,Gene_Ontology_OBO_Tools,https://github.com/QuanEvans/gene_onotology_obo_tools
zeogs_github,ZEOGS,https://github.com/SergeyPry/ZEOGS_GitHub
ogg-core,OGG-Core,https://github.com/OGG-Ontology/OGG-core
pcpannotationassessment,PCPAnnotationAssessment,https://github.com/osamajomaa/PCPAnnotationAssessment
do2go_mouse,DO2GO_Mouse,https://github.com/cirillodavide/DO2GO_mouse
go2cell,GO2Cell,https://github.com/jvfe/go2cell
dataset_gene_ontology_term,Dataset Gene Ontology Term,https://github.com/multydoffer/dataset_Gene_ontology_term
genes-data,Genes-Data,https://github.com/prozion/genes-data
