id,title,url
bio2rdf-chembl,Bio2RDF::Chembl,http://chembl.bio2rdf.org/
fu-berlin-drugbank,DrugBank,http://www4.wiwiss.fu-berlin.de/drugbank/
bio2rdf-goa,Bio2RDF::Goa,http://goa.bio2rdf.org/
bio2rdf-homologene,Bio2RDF::Homologene,http://homologene.bio2rdf.org/
bio2rdf-irefindex,Bio2RDF::Irefindex,http://irefindex.bio2rdf.org/
bio2rdf-mesh,Bio2RDF::Mesh,http://mesh.bio2rdf.org/
bio2rdf-ndc,Bio2RDF::Ndc,http://ndc.bio2rdf.org/
bio2rdf-pharmgkb,Bio2RDF::Pharmgkb,http://pharmgkb.bio2rdf.org/
bio2rdf-orphanet,Bio2RDF::Orphanet,http://orphanet.bio2rdf.org/
bio2rdf-sabiork,Bio2RDF::Sabiork,http://sabiork.bio2rdf.org/
bio2rdf-sider,Bio2RDF::Sider,http://sider.bio2rdf.org/
bio2rdf-taxon,bio2rdf-taxon,http://taxon.bio2rdf.org/
bio2rdf-wormbase,Bio2RDF::Wormbase,http://wormbase.bio2rdf.org/
bioportal-mccl_x1,Cell line ontology,https://bioportal.bioontology.org/ontologies/CLO
bioportal-apo,Ascomycete phenotype ontology,https://bioportal.bioontology.org/ontologies/APO
bioportal-nmr,NMR-instrument specific component of metabolomics investigations,https://old.datahub.io/zh_TW/dataset/bioportal-nmr
bioportal-sio,SemanticScience Integrated Ontology,https://bioportal.bioontology.org/ontologies/SIO
bioportal-fypo,Fission Yeast Phenotype Ontology,https://bioportal.bioontology.org/ontologies/FYPO
bioportal-mod,Protein modification,https://bioportal.bioontology.org/ontologies/PSIMOD
bioportal-imr,Molecule role (INOH Protein name/family name ontology),http://linkeddatacatalog.dws.informatik.uni-mannheim.de/id/dataset/bioportal-imr
bioportal-nif_cell,NIF Cell,https://bioportal.bioontology.org/ontologies/NIFCELL
bioportal-dc_cl,Dendritic cell,absent
bioportal-wbphenotype,C. elegans phenotype,https://bioportal.bioontology.org/ontologies/WB-PHENOTYPE
jita,JITA Classification System of Library and Information Science,http://www.destin-informatique.com/ASKOSI/Wiki.jsp?page=JITA%20Maintenance
bioportal-efo,Experimental Factor Ontology,https://bioportal.bioontology.org/ontologies/EFO
bioportal-aeo,Anatomical Entity Ontology,https://bioportal.bioontology.org/ontologies/AEO
bioportal-rex,Physico-chemical process,https://bioportal.bioontology.org/ontologies/REX
bioportal-geospecies,GeoSpecies Ontology,https://bioportal.bioontology.org/ontologies/GEOSPECIES
bioportal-chebi,Chemical entities of biological interest,https://bioportal.bioontology.org/ontologies/CHEBI
bioportal-rnao,RNA ontology,https://bioportal.bioontology.org/ontologies/RNAO
bioportal-lipro,Lipid Ontology,https://bioportal.bioontology.org/ontologies/LIPRO
bioportal-mao,Multiple alignment,absent
bioportal-hao,Hymenoptera Anatomy Ontology,https://bioportal.bioontology.org/ontologies/HAO
bioportal-fbdv,Drosophila development,https://bioportal.bioontology.org/ontologies/FB-DV
bioportal-fbbt,Drosophila gross anatomy,https://bioportal.bioontology.org/ontologies/FB-BT
bioportal-bto,BRENDA tissue / enzyme source,https://bioportal.bioontology.org/ontologies/BTO
bioportal-ncbitaxon,NCBI organismal classification,https://bioportal.bioontology.org/ontologies/NCBITAXON
bioportal-pw,Pathway ontology,https://bioportal.bioontology.org/ontologies/PW
bioportal-ogi,Ontology for Genetic Interval,https://bioportal.bioontology.org/ontologies/OGI
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),https://old.datahub.io/bg/dataset/bioportal-ev
bioportal-ehdaa,"Human developmental anatomy, abstract version",https://bioportal.bioontology.org/ontologies/EHDAA
bioportal-mmo,Measurement Method Ontology,https://bioportal.bioontology.org/ontologies/MMO
bioportal-ido,Infectious Disease Ontology,https://bioportal.bioontology.org/ontologies/IDO
bioportal-cheminf,Chemical Information Ontology,https://bioportal.bioontology.org/ontologies/CHEMINF
bioportal-npo,NanoParticle Ontology,https://bioportal.bioontology.org/ontologies/NPO
chempedia-rdf,ChemPedia RDF,http://figshare.com/articles/ChemPedia_as_RDF/681678
bioportal-mego,MeGO,https://bioportal.bioontology.org/ontologies/MEGO
addgene,Addgene,http://www.addgene.org/
bioportal-exo,ExO,https://bioportal.bioontology.org/ontologies/EXO
bioportal-uo,Units of measurement,https://bioportal.bioontology.org/ontologies/UO
bioportal-pato,Phenotypic quality,https://bioportal.bioontology.org/ontologies/PATO
kupkb,Kidney and Urinary Pathway Knowledge Base,http://www.kupkb.org
entrez_gene,Entrez Gene,http://www.ncbi.nlm.nih.gov/gene
bioportal-mcbcc,Breast tissue cell lines,https://bioportal.bioontology.org/ontologies/MCBCC
bioportal-oboe,OBOE,https://bioportal.bioontology.org/ontologies/OBOE
bioportal-snpo,SNP-Ontology,https://bioportal.bioontology.org/ontologies/SNPO
bioportal-sao,Subcellular Anatomy Ontology (SAO),https://bioportal.bioontology.org/ontologies/SAO
fu-berlin-stitch,STITCH: Chemical-Protein Interactions,http://www4.wiwiss.fu-berlin.de/stitch/
bioportal-cl,Cell type,https://bioportal.bioontology.org/ontologies/CL
bioportal-bp,BioPAX,https://bioportal.bioontology.org/ontologies/BP
bioportal-bdo,Bone Dysplasia Ontology,https://bioportal.bioontology.org/ontologies/BDO
biosamples-rdf,BioSamples RDF,https://www.ebi.ac.uk/biosamples/
bioportal-ecg,Electrocardiography Ontology,https://bioportal.bioontology.org/ontologies/ECG
fu-berlin-dailymed,DailyMed,http://www4.wiwiss.fu-berlin.de/dailymed/
PGxLOD,PGxLOD,https://pgxlod.loria.fr/
gene-expression-atlas-rdf,Gene Expression Atlas RDF,http://www.ebi.ac.uk/rdf/services/atlas
yale_senselab,Yale Senselab,http://neuroweb.med.yale.edu/senselab/
linkedct,LinkedCT,absent
arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-AFMX-1
biolod-pdb,BioLOD for Protein Data Bank Japan,http://biolod.org/database/ria1i/Protein_Data_Bank
bioportal-omit,Ontology for MicroRNA Target Prediction,absent
bioportal-icf_x1,"International Classification of Functioning, Disability and Health (ICF)",https://bioportal.bioontology.org/ontologies/ICF
cz-sidc-drug-ingredients,Active ingredients of medicinal products available in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drug-ingredients
chem2bio2rdf,Chem2Bio2RDF,http://chem2bio2rdf.org
Naturopathy,Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,http://sensormeasurement.appspot.com/dataset/naturopathy-dataset
bioportal-mdr,MedDRA,https://bioportal.bioontology.org/ontologies/MEDDRA
bioportal-spto,Solanaceae Phenotype Ontology,https://bioportal.bioontology.org/ontologies/SPTO
bioportal-ddi,Ontology for Drug Discovery Investigations,https://bioportal.bioontology.org/ontologies/DDI
Hermos,Hermos,https://mcbu-semanticweb-lab.github.io/hermos/
